# e1p = 80
# e2p = 10.3
# e1 = 0.114294393602797
# e2 = 0.0147154031763602
# s1 = 0.01
# s2 = 0.0005
# I1 = 10
# I2 = 0.0029
# k1 = 0.324618233078091
# k2 = 0.0154062978426344
# dx = 1
# dz = 1
# phi_b = 3.8
# M = 200
# N = 200
# tol = 1e-10
# iter_max = 60000
# delta = 9.99831328840628e-11
#
# r s phi(r,s)
-200 0 6.21036131667291
-200 1 6.17666891620895
-200 2 6.14354241002876
-200 3 6.11097393505167
-200 4 6.07895576061295
-200 5 6.04748028662894
-200 6 6.01654004179326
-200 7 5.98612768180353
-200 8 5.95623598761835
-200 9 5.92685786374405
-200 10 5.89798633655077
-200 11 5.86961455261752
-200 12 5.84173577710585
-200 13 5.81434339216164
-200 14 5.78743089534476
-200 15 5.76099189808611
-200 16 5.73502012417178
-200 17 5.70950940825387
-200 18 5.68445369438769
-200 19 5.65984703459494
-200 20 5.6356835874526
-200 21 5.61195761670705
-200 22 5.58866348991334
-200 23 5.56579567709895
-200 24 5.54334874945206
-200 25 5.52131737803379
-200 26 5.49969633251415
-200 27 5.47848047993151
-200 28 5.45766478347512
-200 29 5.43724430129056
-200 30 5.41721418530765
-200 31 5.3975696800908
-200 32 5.37830612171118
-200 33 5.35941893664082
-200 34 5.34090364066804
-200 35 5.3227558378342
-200 36 5.30497121939136
-200 37 5.28754556278068
-200 38 5.27047473063129
-200 39 5.2537546697794
-200 40 5.23738141030742
-200 41 5.2213510646028
-200 42 5.2056598264365
-200 43 5.19030397006073
-200 44 5.17527984932579
-200 45 5.16058389681588
-200 46 5.14621262300354
-200 47 5.13216261542258
-200 48 5.1184305378594
-200 49 5.10501312956226
-200 50 5.09190720446859
-200 51 5.07910965044998
-200 52 5.06661742857471
-200 53 5.05442757238766
-200 54 5.04253718720742
-200 55 5.03094344944047
-200 56 5.0196436059121
-200 57 5.00863497321425
-200 58 4.99791493706967
-200 59 4.98748095171264
-200 60 4.97733053928589
-200 61 4.9674612892536
-200 62 4.95787085783043
-200 63 4.9485569674263
-200 64 4.93951740610694
-200 65 4.93075002706995
-200 66 4.92225274813638
-200 67 4.91402355125751
-200 68 4.90606048203697
-200 69 4.89836164926783
-200 70 4.89092522448475
-200 71 4.88374944153098
-200 72 4.87683259614006
-200 73 4.87017304553232
-200 74 4.86376920802582
-200 75 4.85761956266185
-200 76 4.85172264884474
-200 77 4.84607706599611
-200 78 4.84068147322316
-200 79 4.8355345890012
-200 80 4.8306351908703
-200 81 4.82598211514575
-200 82 4.82157425664265
-200 83 4.81741056841419
-200 84 4.81349006150382
-200 85 4.8098118047111
-200 86 4.80637492437127
-200 87 4.80317860414841
-200 88 4.80022208484216
-200 89 4.79750466420805
-200 90 4.79502569679121
-200 91 4.79278459377358
-200 92 4.79078082283456
-200 93 4.78901390802496
-200 94 4.78748342965435
-200 95 4.78618902419171
-200 96 4.78513038417937
-200 97 4.78430725816025
-200 98 4.78371945061831
-200 99 4.7833668219323
-200 100 4.78324928834266
-200 101 4.78336682193177
-200 102 4.78371945061725
-200 103 4.78430725815866
-200 104 4.78513038417725
-200 105 4.78618902418905
-200 106 4.78748342965116
-200 107 4.78901390802124
-200 108 4.79078082283031
-200 109 4.7927845937688
-200 110 4.79502569678589
-200 111 4.79750466420221
-200 112 4.80022208483579
-200 113 4.8031786041415
-200 114 4.80637492436384
-200 115 4.80981180470313
-200 116 4.81349006149531
-200 117 4.81741056840515
-200 118 4.82157425663308
-200 119 4.82598211513565
-200 120 4.83063519085967
-200 121 4.83553458899005
-200 122 4.84068147321147
-200 123 4.8460770659839
-200 124 4.851722648832
-200 125 4.85761956264857
-200 126 4.86376920801201
-200 127 4.87017304551798
-200 128 4.87683259612519
-200 129 4.88374944151557
-200 130 4.89092522446882
-200 131 4.89836164925136
-200 132 4.90606048201997
-200 133 4.91402355123999
-200 134 4.92225274811832
-200 135 4.93075002705137
-200 136 4.93951740608782
-200 137 4.94855696740666
-200 138 4.95787085781026
-200 139 4.9674612892329
-200 140 4.97733053926465
-200 141 4.98748095169087
-200 142 4.99791493704737
-200 143 5.00863497319142
-200 144 5.01964360588875
-200 145 5.03094344941658
-200 146 5.04253718718301
-200 147 5.05442757236271
-200 148 5.06661742854923
-200 149 5.07910965042398
-200 150 5.09190720444205
-200 151 5.10501312953519
-200 152 5.1184305378318
-200 153 5.13216261539446
-200 154 5.14621262297488
-200 155 5.1605838967867
-200 156 5.17527984929608
-200 157 5.19030397003049
-200 158 5.20565982640574
-200 159 5.22135106457151
-200 160 5.2373814102756
-200 161 5.25375466974705
-200 162 5.2704747305984
-200 163 5.28754556274726
-200 164 5.30497121935742
-200 165 5.32275583779973
-200 166 5.34090364063304
-200 167 5.35941893660529
-200 168 5.37830612167513
-200 169 5.39756968005422
-200 170 5.41721418527054
-200 171 5.43724430125292
-200 172 5.45766478343695
-200 173 5.47848047989281
-200 174 5.49969633247493
-200 175 5.52131737799404
-200 176 5.54334874941179
-200 177 5.56579567705815
-200 178 5.58866348987201
-200 179 5.61195761666519
-200 180 5.63568358741021
-200 181 5.65984703455203
-200 182 5.68445369434425
-200 183 5.7095094082099
-200 184 5.73502012412728
-200 185 5.76099189804109
-200 186 5.78743089529921
-200 187 5.81434339211557
-200 188 5.84173577705925
-200 189 5.8696145525704
-200 190 5.89798633650312
-200 191 5.92685786369587
-200 192 5.95623598756964
-200 193 5.9861276817543
-200 194 6.0165400417435
-200 195 6.04748028657866
-200 196 6.07895576056214
-200 197 6.11097393500034
-200 198 6.1435424099769
-200 199 6.17666891615656
-200 200 6.21036131662
-199 0 6.20308146535225
-199 1 6.16938908117293
-199 2 6.13626262383091
-199 3 6.10369423019655
-199 4 6.07167616952365
-199 5 6.04020084161456
-199 6 6.00926077501657
-199 7 5.97884862524876
-199 8 5.94895717305917
-199 9 5.91957932271176
-199 10 5.89070810030276
-199 11 5.86233665210602
-199 12 5.83445824294697
-199 13 5.80706625460478
-199 14 5.78015418424242
-199 15 5.75371564286409
-199 16 5.7277443537998
-199 17 5.70223415121674
-199 18 5.67717897865689
-199 19 5.65257288760083
-199 20 5.62841003605709
-199 21 5.60468468717696
-199 22 5.5813912078943
-199 23 5.55852406758999
-199 24 5.53607783678083
-199 25 5.51404718583249
-199 26 5.49242688369622
-199 27 5.47121179666896
-199 28 5.45039688717674
-199 29 5.42997721258081
-199 30 5.40994792400644
-199 31 5.390304265194
-199 32 5.37104157137209
-199 33 5.3521552681524
-199 34 5.33364087044607
-199 35 5.31549398140129
-199 36 5.29771029136194
-199 37 5.28028557684683
-199 38 5.26321569954956
-199 39 5.24649660535855
-199 40 5.23012432339712
-199 41 5.21409496508331
-199 42 5.19840472320933
-199 43 5.18304987104022
-199 44 5.16802676143178
-199 45 5.1533318259673
-199 46 5.13896157411301
-199 47 5.12491259239208
-199 48 5.11118154357683
-199 49 5.09776516589909
-199 50 5.08466027227852
-199 51 5.07186374956855
-199 52 5.05937255781996
-199 53 5.04718372956179
-199 54 5.03529436909944
-199 55 5.02370165182983
-199 56 5.01240282357337
-199 57 5.00139519992267
-199 58 4.99067616560778
-199 59 4.98024317387787
-199 60 4.97009374589903
-199 61 4.96022547016829
-199 62 4.95063600194355
-199 63 4.94132306268933
-199 64 4.93228443953817
-199 65 4.92351798476764
-199 66 4.91502161529278
-199 67 4.90679331217375
-199 68 4.89883112013881
-199 69 4.89113314712227
-199 70 4.88369756381742
-199 71 4.87652260324433
-199 72 4.86960656033241
-199 73 4.86294779151757
-199 74 4.85654471435396
-199 75 4.85039580714019
-199 76 4.84449960855988
-199 77 4.83885471733647
-199 78 4.83345979190231
-199 79 4.82831355008176
-199 80 4.82341476878842
-199 81 4.81876228373626
-199 82 4.81435498916471
-199 83 4.8101918375775
-199 84 4.80627183949534
-199 85 4.80259406322228
-199 86 4.79915763462571
-199 87 4.79596173692997
-199 88 4.79300561052351
-199 89 4.79028855277954
-199 90 4.78780991789016
-199 91 4.78556911671389
-199 92 4.78356561663653
-199 93 4.78179894144553
-199 94 4.78026867121747
-199 95 4.77897444221897
-199 96 4.77791594682082
-199 97 4.77709293342537
-199 98 4.77650520640712
-199 99 4.77615262606653
-199 100 4.77603510859708
-199 101 4.77615262606546
-199 102 4.77650520640499
-199 103 4.77709293342218
-199 104 4.77791594681657
-199 105 4.77897444221365
-199 106 4.78026867121109
-199 107 4.78179894143809
-199 108 4.78356561662803
-199 109 4.78556911670432
