# lB=55.7
# s1_phys=0.01
# s2_phys=0.0005
# I1_phys=10.
# I2_phys=0.0029
# k1_phys=0.3178454072752361
# k2_phys=0.015084861272157002
# dx_phys=1.
# dz_phys=1.
# L_phys=100.
# s1=31.024900000000002
# s2=1.5512450000000002
# e1=80.
# e2=10.3
# k1=17.70398918523065
# k2=0.840226772859145
# dx=0.017953321364452424
# dz=0.017953321364452424
# L=1.7953321364452424
# phi_D=3.8
# M=200
# N1=200
# r s phi(r,s)
0 0 0.31572369289113345
0 1 0.24533881692901066
0 2 0.19331068173698218
0 3 0.15470517268944067
0 4 0.12598897880469698
0 5 0.10456606722162892
0 6 0.08852796589660317
0 7 0.07647080445841761
0 8 0.0673611897885191
0 9 0.06043785090470082
0 10 0.055139491410368446
0 11 0.051051848545451896
0 12 0.04786883163869144
0 13 0.04536398424748212
0 14 0.04336951831430867
0 15 0.041760903842492536
0 16 0.04044553599539839
0 17 0.039354395894262664
0 18 0.038435910318999865
0 19 0.03765142724096568
0 20 0.03697187930221443
0 21 0.03637532112859072
0 22 0.03584510979754873
0 23 0.03536855898378006
0 24 0.03493594221404156
0 25 0.034539753625885225
0 26 0.03417415882920938
0 27 0.03383458624909467
0 28 0.033517422394130796
0 29 0.03321978410055456
0 30 0.03293934786861838
0 31 0.03267422160816769
0 32 0.03242284794025152
0 33 0.032183931023860905
0 34 0.03195638095816723
0 35 0.031739271346687276
0 36 0.03153180674445725
0 37 0.03133329754825675
0 38 0.031143140510908475
0 39 0.030960803520864805
0 40 0.0307858136297619
0 41 0.030617747564366977
0 42 0.030456224148203308
0 43 0.03030089819895209
0 44 0.03015145557292793
0 45 0.03000760910668547
0 46 0.029869095264923345
0 47 0.029735671348329308
0 48 0.029607113148575986
0 49 0.029483212963089277
0 50 0.029363777901517552
0 51 0.029248628430554445
0 52 0.029137597115043525
0 53 0.0290305275219684
0 54 0.028927273260635836
0 55 0.02882769713757039
0 56 0.028731670408708616
0 57 0.028639072114679337
0 58 0.02854978848748491
0 59 0.028463712418909326
0 60 0.028380742982589746
0 61 0.028300785002985065
0 62 0.028223748665528424
0 63 0.028149549163109727
0 64 0.0280781063747412
0 65 0.028009344572843452
0 66 0.027943192156076404
0 67 0.027879581405047052
0 68 0.027818448258569734
0 69 0.027759732108445744
0 70 0.027703375610976952
0 71 0.027649324513641084
0 72 0.027597527495538347
0 73 0.02754793602037776
0 74 0.027500504200908413
0 75 0.027455188673820265
0 76 0.027411948484244344
0 77 0.02737074497907326
0 78 0.027331541708404496
0 79 0.027294304334480435
0 80 0.027259000547562307
0 81 0.027225599988232027
0 82 0.027194074175666137
0 83 0.027164396441471263
0 84 0.02713654186871091
0 85 0.02711048723579
0 86 0.027086210964896447
0 87 0.027063693074728758
0 88 0.027042915137265977
0 89 0.02702386023836103
0 90 0.027006512941960756
0 91 0.026990859257777375
0 92 0.02697688661225454
0 93 0.026964583822689646
0 94 0.026953941074389934
0 95 0.026944949900756035
0 96 0.02693760316620053
0 97 0.02693189505182332
0 98 0.02692782104377866
0 99 0.026925377924280982
0 100 0.026924563765209273
0 101 0.026925377924280982
0 102 0.02692782104377866
0 103 0.02693189505182332
0 104 0.02693760316620053
0 105 0.026944949900756035
0 106 0.026953941074389934
0 107 0.026964583822689646
0 108 0.02697688661225454
0 109 0.026990859257777375
0 110 0.027006512941960756
0 111 0.02702386023836103
0 112 0.027042915137265977
0 113 0.027063693074728758
0 114 0.027086210964896447
0 115 0.02711048723579
0 116 0.02713654186871091
