#e1=80
#e2=10.3
#s1=0.01
#s2=0.0005
#I1=10
#I2=0.0029
#dx=1
#dz=1
#phi_D=3.8
#M=200
#N=200
#tol=1e-12
#iter_max=150000
#iter_write=5000
#l_B=55.7
#alpha=0.01
#delta=1.70889446948763e-06
#n=1
#
# r s phi(r,s)
-200 0 6.20767289879139
-200 1 6.17398186343593
-200 2 6.14085697483272
-200 3 6.10829036929431
-200 4 6.07627431526955
-200 5 6.04480121150981
-200 6 6.01386358526668
-200 7 5.98345409052061
-200 8 5.95356550624013
-200 9 5.92419073467116
-200 10 5.89532279965609
-200 11 5.86695484498206
-200 12 5.83908013275829
-200 13 5.81169204182183
-200 14 5.78478406617145
-200 15 5.75834981342932
-200 16 5.73238300333001
-200 17 5.70687746623651
-200 18 5.68182714168293
-200 19 5.65722607694337
-200 20 5.63306842562687
-200 21 5.60934844629777
-200 22 5.58606050112145
-200 23 5.56319905453489
-200 24 5.54075867194181
-200 25 5.51873401843209
-200 26 5.49711985752509
-200 27 5.47591104993659
-200 28 5.45510255236901
-200 29 5.43468941632468
-200 30 5.41466678694177
-200 31 5.39502990185262
-200 32 5.37577409006425
-200 33 5.35689477086064
-200 34 5.33838745272663
-200 35 5.32024773229305
-200 36 5.30247129330291
-200 37 5.28505390559836
-200 38 5.26799142412812
-200 39 5.25127978797518
-200 40 5.2349150194045
-200 41 5.21889322293049
-200 42 5.20321058440395
-200 43 5.18786337011844
-200 44 5.17284792593557
-200 45 5.15816067642919
-200 46 5.14379812404825
-200 47 5.12975684829805
-200 48 5.11603350493964
-200 49 5.10262482520733
-200 50 5.08952761504392
-200 51 5.07673875435359
-200 52 5.06425519627221
-200 53 5.05207396645489
-200 54 5.04019216238057
-200 55 5.02860695267358
-200 56 5.01731557644175
-200 57 5.00631534263132
-200 58 4.99560362939799
-200 59 4.98517788349438
-200 60 4.97503561967349
-200 61 4.96517442010816
-200 62 4.95559193382624
-200 63 4.94628587616145
-200 64 4.93725402821981
-200 65 4.92849423636136
-200 66 4.92000441169726
-200 67 4.91178252960186
-200 68 4.90382662923999
-200 69 4.896134813109
-200 70 4.88870524659565
-200 71 4.88153615754773
-200 72 4.87462583586017
-200 73 4.86797263307571
-200 74 4.86157496199999
-200 75 4.85543129633081
-200 76 4.84954017030176
-200 77 4.84390017833984
-200 78 4.83850997473727
-200 79 4.83336827333712
-200 80 4.82847384723295
-200 81 4.82382552848222
-200 82 4.81942220783356
-200 83 4.81526283446752
-200 84 4.81134641575124
-200 85 4.80767201700648
-200 86 4.8042387612913
-200 87 4.80104582919518
-200 88 4.79809245864756
-200 89 4.79537794473981
-200 90 4.7929016395605
-200 91 4.79066295204405
-200 92 4.78866134783256
-200 93 4.786896349151
-200 94 4.78536753469551
-200 95 4.78407453953499
-200 96 4.7830170550258
-200 97 4.78219482873961
-200 98 4.78160766440444
-200 99 4.78125542185878
-200 100 4.78113801701881
-200 101 4.78125542185878
-200 102 4.78160766440445
-200 103 4.78219482873961
-200 104 4.7830170550258
-200 105 4.784074539535
-200 106 4.78536753469551
-200 107 4.786896349151
-200 108 4.78866134783257
-200 109 4.79066295204406
-200 110 4.79290163956051
-200 111 4.79537794473982
-200 112 4.79809245864757
-200 113 4.80104582919519
-200 114 4.80423876129131
-200 115 4.80767201700649
-200 116 4.81134641575125
-200 117 4.81526283446753
-200 118 4.81942220783357
-200 119 4.82382552848224
-200 120 4.82847384723297
-200 121 4.83336827333713
-200 122 4.83850997473729
-200 123 4.84390017833987
-200 124 4.84954017030178
-200 125 4.85543129633083
-200 126 4.86157496200002
-200 127 4.86797263307574
-200 128 4.87462583586019
-200 129 4.88153615754776
-200 130 4.88870524659569
-200 131 4.89613481310903
-200 132 4.90382662924002
-200 133 4.9117825296019
-200 134 4.92000441169729
-200 135 4.9284942363614
-200 136 4.93725402821984
-200 137 4.94628587616149
-200 138 4.95559193382628
-200 139 4.9651744201082
-200 140 4.97503561967353
-200 141 4.98517788349442
-200 142 4.99560362939803
-200 143 5.00631534263136
-200 144 5.0173155764418
-200 145 5.02860695267362
-200 146 5.04019216238062
-200 147 5.05207396645493
-200 148 5.06425519627226
-200 149 5.07673875435364
-200 150 5.08952761504397
-200 151 5.10262482520738
-200 152 5.11603350493969
-200 153 5.1297568482981
-200 154 5.14379812404831
-200 155 5.15816067642924
-200 156 5.17284792593562
-200 157 5.1878633701185
-200 158 5.20321058440401
-200 159 5.21889322293054
-200 160 5.23491501940456
-200 161 5.25127978797524
-200 162 5.26799142412818
-200 163 5.28505390559842
-200 164 5.30247129330298
-200 165 5.32024773229312
-200 166 5.3383874527267
-200 167 5.35689477086071
-200 168 5.37577409006432
-200 169 5.39502990185269
-200 170 5.41466678694184
-200 171 5.43468941632476
-200 172 5.45510255236908
-200 173 5.47591104993666
-200 174 5.49711985752516
-200 175 5.51873401843216
-200 176 5.54075867194188
-200 177 5.56319905453496
-200 178 5.58606050112152
-200 179 5.60934844629784
-200 180 5.63306842562694
-200 181 5.65722607694345
-200 182 5.681827141683
-200 183 5.70687746623659
-200 184 5.73238300333009
-200 185 5.7583498134294
-200 186 5.78478406617153
-200 187 5.81169204182191
-200 188 5.83908013275837
-200 189 5.86695484498214
-200 190 5.89532279965617
-200 191 5.92419073467125
-200 192 5.95356550624021
-200 193 5.98345409052069
-200 194 6.01386358526677
-200 195 6.0448012115099
-200 196 6.07627431526964
-200 197 6.1082903692944
-200 198 6.1408569748328
-200 199 6.17398186343602
-200 200 6.20767289879148
-199 0 6.19770621605948
-199 1 6.16401656188763
-199 2 6.13089333945937
-199 3 6.09832868443166
-199 4 6.06631486428551
-199 5 6.03484427649346
-199 6 6.00390944671888
-199 7 5.97350302704673
-199 8 5.94361779424511
-199 9 5.91424664805744
-199 10 5.88538260952471
-199 11 5.85701881933735
-199 12 5.82914853621649
-199 13 5.80176513532401
-199 14 5.7748621067011
-199 15 5.7484330537349
-199 16 5.72247169165288
-199 17 5.6969718460445
-199 18 5.67192745140985
-199 19 5.64733254973487
-199 20 5.6231812890928
-199 21 5.59946792227144
-199 22 5.57618680542594
-199 23 5.55333239675682
-199 24 5.53089925521266
-199 25 5.50888203921735
-199 26 5.48727550542155
-199 27 5.46607450747778
-199 28 5.44527399483916
-199 29 5.42486901158126
-199 30 5.4048546952468
-199 31 5.38522627571292
-199 32 5.3659790740807
-199 33 5.34710850158664
-199 34 5.32861005853575
-199 35 5.31047933325608
-199 36 5.29271200107432
-199 37 5.27530382331217
-199 38 5.25825064630336
-199 39 5.24154840043079
-199 40 5.22519309918386
-199 41 5.20918083823547
-199 42 5.19350779453853
-199 43 5.17817022544175
-199 44 5.16316446782449
-199 45 5.14848693725038
-199 46 5.13413412713949
-199 47 5.12010260795889
-199 48 5.10638902643128
-199 49 5.09299010476158
-199 50 5.07990263988117
-199 51 5.06712350270969
-199 52 5.05464963743412
-199 53 5.04247806080495
-199 54 5.03060586144928
-199 55 5.01903019920073
-199 56 5.00774830444576
-199 57 4.99675747748659
-199 58 4.98605508792016
-199 59 4.97563857403324
-199 60 4.96550544221349
-199 61 4.95565326637616
-199 62 4.94607968740648
-199 63 4.93678241261751
-199 64 4.92775921522328
-199 65 4.91900793382716
-199 66 4.91052647192525
-199 67 4.90231279742478
-199 68 4.89436494217725
-199 69 4.88668100152635
-199 70 4.87925913387041
-199 71 4.87209756023941
-199 72 4.86519456388627
-199 73 4.85854848989253
-199 74 4.85215774478823
-199 75 4.84602079618576
-199 76 4.84013617242788
-199 77 4.83450246224958
-199 78 4.82911831445383
-199 79 4.82398243760115
-199 80 4.81909359971278
-199 81 4.8144506279876
-199 82 4.81005240853261
-199 83 4.80589788610685
-199 84 4.80198606387889
-199 85 4.79831600319767
-199 86 4.79488682337669
-199 87 4.7916977014915
-199 88 4.78874787219056
-199 89 4.78603662751913
-199 90 4.78356331675655
-199 91 4.78132734626655
-199 92 4.7793281793607
-199 93 4.77756533617495
-199 94 4.77603839355931
-199 95 4.77474698498041
-199 96 4.77369080043724
-199 97 4.77286958638983
-199 98 4.77228314570088
-199 99 4.77193133759043
-199 100 4.77181407760345
-199 101 4.77193133759043
-199 102 4.77228314570088
-199 103 4.77286958638984
-199 104 4.77369080043725
-199 105 4.77474698498041
-199 106 4.77603839355932
-199 107 4.77756533617497
-199 108 4.77932817936071
-199 109 4.78132734626657
-199 110 4.78356331675657
-199 111 4.78603662751915
-199 112 4.78874787219058
-199 113 4.79169770149153
-199 114 4.79488682337671
-199 115 4.7983160031977
-199 116 4.80198606387891
-199 117 4.80589788610688
-199 118 4.81005240853264
-199 119 4.81445062798764
-199 120 4.81909359971281
-199 121 4.82398243760119
-199 122 4.82911831445387
-199 123 4.83450246224962
-199 124 4.84013617242792
-199 125 4.84602079618581
-199 126 4.85215774478828
-199 127 4.85854848989258
-199 128 4.86519456388632
-199 129 4.87209756023947
-199 130 4.87925913387047
-199 131 4.88668100152641
-199 132 4.89436494217731
-199 133 4.90231279742484
-199 134 4.91052647192531
-199 135 4.91900793382722
-199 136 4.92775921522335
-199 137 4.93678241261758
-199 138 4.94607968740655
-199 139 4.95565326637623
-199 140 4.96550544221357
-199 141 4.97563857403332
-199 142 4.98605508792023
-199 143 4.99675747748667
-199 144 5.00774830444585
-199 145 5.01903019920081
-199 146 5.03060586144937
-199 147 5.04247806080504
-199 148 5.05464963743421
-199 149 5.06712350270979
-199 150 5.07990263988126
-199 151 5.09299010476168
-199 152 5.10638902643139
-199 153 5.120102607959
-199 154 5.1341341271396
-199 155 5.14848693725048
-199 156 5.1631644678246
-199 157 5.17817022544186
-199 158 5.19350779453865
-199 159 5.20918083823559
-199 160 5.22519309918398
-199 161 5.2415484004309
-199 162 5.25825064630348
-199 163 5.2753038233123
-199 164 5.29271200107445
-199 165 5.31047933325621
-199 166 5.32861005853588
-199 167 5.34710850158677
-199 168 5.36597907408084
-199 169 5.38522627571305
-199 170 5.40485469524694
-199 171 5.4248690115814
-199 172 5.4452739948393
-199 173 5.46607450747792
-199 174 5.48727550542169
-199 175 5.50888203921749
-199 176 5.5308992552128
-199 177 5.55333239675697
-199 178 5.57618680542609
-199 179 5.59946792227159
-199 180 5.62318128909296
